Name	No.	Position	Amplitude	Width	Param1	Function	Area	Amplitude ratio to No.1	Area ratio to No.1	Position difference from No.1
N_9/27/2023 10:30:30 AM Index:1	1	519.060	1.091	3.576	0.000	Lorentzian	6.131	1.0000	1.0000	0.000
N_9/27/2023 11:02:57 AM Index:3	1	518.934	1.075	3.576	0.000	Lorentzian	6.035	1.0000	1.0000	0.000
N_9/27/2023 11:35:23 AM Index:5	1	518.862	1.068	3.550	0.000	Lorentzian	5.958	1.0000	1.0000	0.000
N_9/27/2023 12:07:50 PM Index:7	1	518.845	1.066	3.549	0.000	Lorentzian	5.942	1.0000	1.0000	0.000
N_9/27/2023 12:40:16 PM Index:9	1	518.877	1.069	3.550	0.000	Lorentzian	5.961	1.0000	1.0000	0.000
N_9/27/2023 1:12:42 PM Index:11	1	518.951	1.071	3.533	0.000	Lorentzian	5.946	1.0000	1.0000	0.000
N_9/27/2023 1:45:09 PM Index:13	1	518.988	1.077	3.529	0.000	Lorentzian	5.968	1.0000	1.0000	0.000
N_9/27/2023 2:17:35 PM Index:15	1	518.961	1.075	3.538	0.000	Lorentzian	5.974	1.0000	1.0000	0.000
N_9/27/2023 2:50:02 PM Index:17	1	518.954	1.075	3.531	0.000	Lorentzian	5.964	1.0000	1.0000	0.000
N_9/27/2023 3:22:28 PM Index:19	1	518.933	1.073	3.531	0.000	Lorentzian	5.949	1.0000	1.0000	0.000
N_9/27/2023 3:54:55 PM Index:21	1	518.936	1.071	3.524	0.000	Lorentzian	5.931	1.0000	1.0000	0.000
N_9/27/2023 4:27:21 PM Index:23	1	518.923	1.076	3.551	0.000	Lorentzian	6.002	1.0000	1.0000	0.000
N_9/27/2023 4:59:48 PM Index:25	1	518.938	1.073	3.527	0.000	Lorentzian	5.947	1.0000	1.0000	0.000
N_9/27/2023 5:32:14 PM Index:27	1	518.962	1.075	3.540	0.000	Lorentzian	5.981	1.0000	1.0000	0.000
N_9/27/2023 6:04:40 PM Index:29	1	519.011	1.080	3.520	0.000	Lorentzian	5.972	1.0000	1.0000	0.000
N_9/27/2023 6:37:07 PM Index:31	1	518.975	1.075	3.517	0.000	Lorentzian	5.938	1.0000	1.0000	0.000
N_9/27/2023 7:09:33 PM Index:33	1	518.974	1.079	3.589	0.000	Lorentzian	6.083	1.0000	1.0000	0.000
N_9/27/2023 7:42:00 PM Index:35	1	519.032	1.083	3.523	0.000	Lorentzian	5.994	1.0000	1.0000	0.000
N_9/27/2023 8:14:26 PM Index:37	1	518.992	1.078	3.524	0.000	Lorentzian	5.969	1.0000	1.0000	0.000
N_9/27/2023 8:46:53 PM Index:39	1	518.895	1.069	3.545	0.000	Lorentzian	5.952	1.0000	1.0000	0.000
N_9/27/2023 9:19:19 PM Index:41	1	519.069	1.090	3.540	0.000	Lorentzian	6.062	1.0000	1.0000	0.000
N_9/27/2023 9:51:46 PM Index:43	1	518.968	1.075	3.541	0.000	Lorentzian	5.979	1.0000	1.0000	0.000
N_9/27/2023 10:24:12 PM Index:45	1	518.940	1.075	3.558	0.000	Lorentzian	6.008	1.0000	1.0000	0.000
N_9/27/2023 10:56:38 PM Index:47	1	519.059	1.086	3.541	0.000	Lorentzian	6.038	1.0000	1.0000	0.000
N_9/27/2023 11:29:05 PM Index:49	1	518.963	1.075	3.546	0.000	Lorentzian	5.991	1.0000	1.0000	0.000
N_9/28/2023 12:01:31 AM Index:51	1	518.954	1.043	3.541	0.000	Lorentzian	5.799	1.0000	1.0000	0.000
