"wavelength (nm)",0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,0_r
300,2.046172,2.070227,2.054075,2.073485,2.066364,2.105047,2.077814,2.074125,2.076787,2.07363,2.080749,2.057852,2.104186,2.093186,2.053681,2.082912
301,2.029927,2.015822,2.025729,2.033077,2.015065,2.017397,2.035655,2.045651,2.026756,2.044864,2.032407,2.029701,2.04623,2.030707,2.042136,2.04424
302,2.000571,1.981144,1.986576,1.992989,1.994203,1.991129,1.97833,1.999624,1.993001,1.992858,1.99638,2.013757,1.999092,1.987054,1.997797,1.972778
303,1.94875,1.969383,1.947789,1.938756,1.978023,1.939981,1.952406,1.949017,1.96022,1.952897,1.952322,1.945566,1.946114,1.961196,1.967031,1.963448
304,1.908516,1.922071,1.912722,1.916574,1.909258,1.903454,1.925767,1.92451,1.913451,1.941226,1.931359,1.914595,1.923944,1.898223,1.915909,1.911008
305,1.883185,1.882824,1.862892,1.881611,1.890526,1.888296,1.890812,1.886976,1.882136,1.88603,1.887681,1.881653,1.877321,1.892562,1.884094,1.889445
306,1.84804,1.836571,1.864072,1.86425,1.863563,1.859828,1.85593,1.849569,1.842491,1.85253,1.858041,1.846299,1.861506,1.838237,1.834789,1.850989
307,1.821631,1.815964,1.816146,1.834971,1.816968,1.813957,1.812404,1.827987,1.820229,1.805496,1.83561,1.803083,1.798739,1.818516,1.82028,1.816049
308,1.793375,1.776438,1.784332,1.788423,1.782491,1.763054,1.768632,1.789039,1.773515,1.770629,1.778884,1.792111,1.785184,1.777948,1.776485,1.789091
309,1.761898,1.764495,1.753292,1.752887,1.763268,1.763586,1.75751,1.759064,1.754131,1.751786,1.746532,1.762487,1.76788,1.753295,1.777675,1.771784
310,1.720724,1.737562,1.730884,1.728266,1.735049,1.729755,1.74148,1.752622,1.726558,1.750014,1.724656,1.744833,1.729472,1.751199,1.746232,1.736237
311,1.700401,1.706662,1.69245,1.711708,1.707867,1.711525,1.709809,1.724997,1.70992,1.710436,1.705084,1.706946,1.729744,1.695726,1.710181,1.723281
312,1.692822,1.697232,1.681016,1.674511,1.685587,1.698469,1.689469,1.694894,1.688304,1.691845,1.694637,1.700115,1.694718,1.689099,1.690653,1.68956
313,1.660798,1.674454,1.649216,1.674104,1.678278,1.664731,1.671039,1.671222,1.666467,1.677073,1.669827,1.675168,1.661443,1.669332,1.665879,1.678201
314,1.664147,1.64889,1.652744,1.662213,1.65704,1.647746,1.644454,1.651408,1.668267,1.663365,1.657048,1.645307,1.660109,1.652729,1.664186,1.664583
315,1.641477,1.632032,1.62558,1.62208,1.624285,1.645954,1.637446,1.632585,1.641782,1.631073,1.627284,1.642103,1.646245,1.633036,1.641513,1.631118
