e,norm,nbkg,flat,fbkg,nder,nsec
6213.39,5.29E-03,5.29E-03,5.29E-03,5.29E-03,-2.39E-05,1.71E-06
6219.1433,5.15E-03,5.15E-03,5.15E-03,5.15E-03,-1.41E-05,4.00E-07
6224.9062,5.13E-03,5.13E-03,5.13E-03,5.13E-03,-1.93E-05,-2.39E-06
6230.6907,4.93E-03,4.93E-03,4.93E-03,4.93E-03,-4.18E-05,-9.55E-07
6236.5174,4.64E-03,4.64E-03,4.64E-03,4.64E-03,-3.04E-05,3.21E-06
6242.3711,4.58E-03,4.58E-03,4.58E-03,4.58E-03,-4.26E-06,2.50E-06
6248.086,4.59E-03,4.59E-03,4.59E-03,4.59E-03,-1.55E-06,-2.44E-06
6253.7911,4.56E-03,4.56E-03,4.56E-03,4.56E-03,-3.21E-05,-3.20E-06
6259.5186,4.23E-03,4.23E-03,4.23E-03,4.23E-03,-3.82E-05,-4.56E-09
6265.2839,4.12E-03,4.12E-03,4.12E-03,4.12E-03,-3.22E-05,2.05E-06
6271.2221,3.85E-03,3.85E-03,3.85E-03,3.85E-03,-1.42E-05,2.56E-06
6277.162,3.95E-03,3.95E-03,3.95E-03,3.95E-03,-1.75E-06,5.98E-07
6282.9371,3.83E-03,3.83E-03,3.83E-03,3.83E-03,-7.15E-06,-2.22E-06
6288.733,3.87E-03,3.87E-03,3.87E-03,3.87E-03,-2.74E-05,-3.01E-06
6294.7029,3.51E-03,3.51E-03,3.51E-03,3.51E-03,-4.26E-05,4.93E-07
6300.677,3.36E-03,3.36E-03,3.36E-03,3.36E-03,-2.15E-05,2.91E-06
6306.479,3.26E-03,3.26E-03,3.26E-03,3.26E-03,-8.31E-06,-6.93E-07
6312.306,3.26E-03,3.26E-03,3.26E-03,3.26E-03,-2.96E-05,-2.24E-06
6318.3089,2.91E-03,2.91E-03,2.91E-03,2.91E-03,-3.48E-05,1.34E-06
6324.3069,2.85E-03,2.85E-03,2.85E-03,2.85E-03,-1.35E-05,1.27E-06
6330.1436,2.75E-03,2.75E-03,2.75E-03,2.75E-03,-1.98E-05,-1.46E-06
6335.9918,2.61E-03,2.61E-03,2.61E-03,2.61E-03,-3.05E-05,-1.18E-06
6342.0419,2.38E-03,2.38E-03,2.38E-03,2.38E-03,-3.39E-05,1.09E-06
6348.1119,2.20E-03,2.20E-03,2.20E-03,2.20E-03,-1.73E-05,5.68E-07
6354.0074,2.18E-03,2.18E-03,2.18E-03,2.18E-03,-2.71E-05,1.79E-07
6359.9076,1.88E-03,1.88E-03,1.88E-03,1.88E-03,-1.52E-05,1.16E-06
6365.9998,1.99E-03,1.99E-03,1.99E-03,1.99E-03,-1.32E-05,-2.21E-06
6372.1054,1.72E-03,1.72E-03,1.72E-03,1.72E-03,-4.22E-05,-1.12E-06
6378.2187,1.48E-03,1.48E-03,1.48E-03,1.48E-03,-2.69E-05,2.33E-06
6384.1503,1.40E-03,1.40E-03,1.40E-03,1.40E-03,-1.41E-05,8.37E-07
6390.1031,1.31E-03,1.31E-03,1.31E-03,1.31E-03,-1.69E-05,-6.55E-07
6396.25,1.19E-03,1.19E-03,1.19E-03,1.19E-03,-2.20E-05,-1.33E-06
