e,xmu,bkg,pre_edge,post_edge,der,sec,chie
6213.39,0.1389847,0.1389847,0.13702895,0.51773945,7.29E-05,6.30E-07,0
6219.1433,0.13940425,0.13940425,0.13749942,0.51795988,7.65E-05,1.48E-07,0
6224.9062,0.13986626,0.13986626,0.13797069,0.51818279,7.46E-05,-8.85E-07,0
6230.6907,0.14026601,0.14026601,0.13844372,0.51840867,6.63E-05,-3.53E-07,0
6236.5174,0.14063645,0.14063645,0.13892019,0.51863835,7.05E-05,1.19E-06,0
6242.3711,0.14108984,0.14108984,0.13939888,0.51887129,8.02E-05,9.23E-07,0
6248.086,0.14156427,0.14156427,0.13986622,0.51910081,8.12E-05,-9.01E-07,0
6253.7911,0.14201718,0.14201718,0.14033276,0.51933202,6.99E-05,-1.18E-06,0
6259.5186,0.1423635,0.1423635,0.14080112,0.51956622,6.77E-05,-1.68E-09,0
6265.2839,0.14279483,0.14279483,0.14127258,0.51980409,6.99E-05,7.59E-07,0
6271.2221,0.14318145,0.14318145,0.14175817,0.5200513,7.65E-05,9.46E-07,0
6277.162,0.14370403,0.14370403,0.14224391,0.52030085,8.11E-05,2.21E-07,0
6282.9371,0.14413185,0.14413185,0.14271617,0.52054562,7.91E-05,-8.19E-07,0
6288.733,0.14461969,0.14461969,0.14319013,0.52079343,7.17E-05,-1.11E-06,0
6294.7029,0.14497488,0.14497488,0.14367832,0.52105091,6.60E-05,1.82E-07,0
6300.677,0.14540849,0.14540849,0.14416685,0.52131085,7.38E-05,1.08E-06,0
6306.479,0.14584428,0.14584428,0.14464132,0.52156548,7.87E-05,-2.56E-07,0
6312.306,0.14632376,0.14632376,0.14511782,0.52182338,7.08E-05,-8.28E-07,0
6318.3089,0.14668239,0.14668239,0.14560871,0.52209132,6.89E-05,4.96E-07,0
6324.3069,0.14715072,0.14715072,0.14609919,0.52236135,7.68E-05,4.69E-07,0
6330.1436,0.14759129,0.14759129,0.14657649,0.52262632,7.45E-05,-5.38E-07,0
6335.9918,0.14802077,0.14802077,0.14705472,0.52289399,7.05E-05,-4.37E-07,0
6342.0419,0.14843026,0.14843026,0.14754947,0.5231732,6.93E-05,4.02E-07,0
6348.1119,0.1488602,0.1488602,0.14804585,0.52345568,7.54E-05,2.10E-07,0
6354.0074,0.14933226,0.14933226,0.14852796,0.52373229,7.18E-05,6.60E-08,0
6359.9076,0.14970676,0.14970676,0.14901045,0.52401134,7.62E-05,4.28E-07,0
6365.9998,0.15024562,0.15024562,0.14950864,0.52430181,7.69E-05,-8.18E-07,0
6372.1054,0.15064482,0.15064482,0.15000792,0.52459529,6.62E-05,-4.15E-07,0
6378.2187,0.15105429,0.15105429,0.15050784,0.52489153,7.18E-05,8.62E-07,0
