e,norm,nbkg,flat,fbkg,nder,nsec
6213.4561,7.46E-03,7.46E-03,7.46E-03,7.46E-03,1.21E-05,-6.78E-06
6219.2095,7.53E-03,7.53E-03,7.53E-03,7.53E-03,-2.70E-05,-5.26E-06
6224.9751,7.15E-03,7.15E-03,7.15E-03,7.15E-03,-4.85E-05,-1.45E-08
6230.7593,6.97E-03,6.97E-03,6.97E-03,6.97E-03,-2.71E-05,1.99E-06
6236.4192,6.84E-03,6.84E-03,6.84E-03,6.84E-03,-2.58E-05,-2.77E-08
6242.115,6.68E-03,6.68E-03,6.68E-03,6.68E-03,-2.74E-05,-5.76E-07
6247.9869,6.52E-03,6.52E-03,6.52E-03,6.52E-03,-3.24E-05,-1.46E-06
6253.8607,6.30E-03,6.30E-03,6.30E-03,6.30E-03,-4.46E-05,-1.67E-06
6259.5858,6.01E-03,6.01E-03,6.01E-03,6.01E-03,-5.18E-05,3.64E-07
6265.3509,5.70E-03,5.70E-03,5.70E-03,5.70E-03,-4.04E-05,2.27E-06
6271.2881,5.53E-03,5.53E-03,5.53E-03,5.53E-03,-2.52E-05,1.86E-06
6277.0638,5.41E-03,5.41E-03,5.41E-03,5.41E-03,-1.87E-05,-1.07E-06
6282.8421,5.32E-03,5.32E-03,5.32E-03,5.32E-03,-3.76E-05,-4.74E-06
6288.7995,4.97E-03,4.97E-03,4.97E-03,4.97E-03,-7.43E-05,-6.86E-07
6294.7678,4.43E-03,4.43E-03,4.43E-03,4.43E-03,-4.57E-05,5.13E-06
6300.5787,4.43E-03,4.43E-03,4.43E-03,4.43E-03,-1.39E-05,1.05E-06
6306.3796,4.27E-03,4.27E-03,4.27E-03,4.27E-03,-3.35E-05,-5.48E-06
6312.3714,4.03E-03,4.03E-03,4.03E-03,4.03E-03,-7.86E-05,-6.13E-06
6318.372,3.33E-03,3.33E-03,3.33E-03,3.33E-03,-1.07E-04,4.60E-06
6324.3719,2.75E-03,2.75E-03,2.75E-03,2.75E-03,-2.34E-05,1.25E-05
6330.2072,3.05E-03,3.05E-03,3.05E-03,3.05E-03,4.11E-05,3.22E-07
6336.0569,3.23E-03,3.23E-03,3.23E-03,3.23E-03,-1.96E-05,-7.12E-06
6342.1056,2.82E-03,2.82E-03,2.82E-03,2.82E-03,-4.37E-05,-1.52E-06
6348.1765,2.70E-03,2.70E-03,2.70E-03,2.70E-03,-3.81E-05,-5.08E-07
6354.0752,2.36E-03,2.36E-03,2.36E-03,2.36E-03,-4.98E-05,2.25E-06
6359.9742,2.11E-03,2.11E-03,2.11E-03,2.11E-03,-1.15E-05,2.03E-06
6366.0657,2.22E-03,2.22E-03,2.22E-03,2.22E-03,-2.54E-05,-1.11E-06
6372.1707,1.80E-03,1.80E-03,1.80E-03,1.80E-03,-2.50E-05,2.38E-06
6378.1219,1.92E-03,1.92E-03,1.92E-03,1.92E-03,3.29E-06,-1.31E-07
6384.056,1.84E-03,1.84E-03,1.84E-03,1.84E-03,-2.66E-05,-3.34E-06
6390.1792,1.60E-03,1.60E-03,1.60E-03,1.60E-03,-3.70E-05,-3.31E-07
6396.3252,1.39E-03,1.39E-03,1.39E-03,1.39E-03,-3.06E-05,5.41E-08
6402.4844,1.23E-03,1.23E-03,1.23E-03,1.23E-03,-3.64E-05,-9.80E-07
6408.4683,9.47E-04,9.47E-04,9.47E-04,9.47E-04,-4.25E-05,1.11E-07
6414.4709,7.16E-04,7.16E-04,7.16E-04,7.16E-04,-3.50E-05,2.04E-06
6420.672,5.20E-04,5.20E-04,5.20E-04,5.20E-04,-1.76E-05,6.87E-07
6426.898,4.97E-04,4.97E-04,4.97E-04,4.97E-04,-2.65E-05,-6.35E-07
6432.9589,1.94E-04,1.94E-04,1.94E-04,1.94E-04,-2.54E-05,2.00E-06
6439.0277,1.89E-04,1.89E-04,1.89E-04,1.89E-04,-2.19E-06,-8.02E-07
6445.3155,1.67E-04,1.67E-04,1.67E-04,1.67E-04,-3.53E-05,-4.38E-06
6451.6271,-2.56E-04,-2.56E-04,-2.56E-04,-2.56E-04,-5.74E-05,9.70E-07
6457.7758,-5.48E-04,-5.48E-04,-5.48E-04,-5.48E-04,-2.32E-05,5.35E-06
6463.9452,-5.42E-04,-5.42E-04,-5.42E-04,-5.42E-04,8.53E-06,1.03E-06
6470.0998,-4.43E-04,-4.43E-04,-4.43E-04,-4.43E-04,-1.05E-05,-2.47E-06
6476.2716,-6.72E-04,-6.72E-04,-6.72E-04,-6.72E-04,-2.19E-05,1.22E-06
6482.6317,-7.18E-04,-7.18E-04,-7.18E-04,-7.18E-04,4.70E-06,1.73E-06
6488.8072,-6.13E-04,-6.13E-04,-6.13E-04,-6.13E-04,-1.77E-07,-8.57E-07
6495.0038,-7.20E-04,-7.20E-04,-7.20E-04,-7.20E-04,-5.90E-06,-1.09E-06
6499.984,-6.79E-04,-6.79E-04,-6.79E-04,-6.79E-04,-1.23E-05,-3.96E-06
6501.8179,-8.04E-04,-8.04E-04,-8.04E-04,-8.04E-04,-3.29E-05,5.39E-04
6502.0082,-7.45E-04,-7.45E-04,-7.45E-04,-7.45E-04,1.08E-03,1.24E-03
6502.3673,-2.11E-04,-2.11E-04,-2.11E-04,-2.11E-04,6.46E-04,-1.78E-03
6502.8634,-1.93E-04,-1.93E-04,-1.93E-04,-1.93E-04,-4.43E-04,-1.37E-03
6503.324,-6.35E-04,-6.35E-04,-6.35E-04,-6.35E-04,-6.60E-04,3.91E-04
6503.6405,-7.06E-04,-7.06E-04,-7.06E-04,-7.06E-04,-1.38E-04,1.40E-03
6503.9963,-7.28E-04,-7.28E-04,-7.28E-04,-7.28E-04,2.82E-04,9.54E-04
6504.3912,-4.94E-04,-4.94E-04,-4.94E-04,-4.94E-04,5.78E-04,-4.44E-04
6504.7862,-2.71E-04,-2.71E-04,-2.71E-04,-2.71E-04,-6.85E-05,-1.37E-03
6505.1812,-5.48E-04,-5.48E-04,-5.48E-04,-5.48E-04,-5.06E-04,-3.58E-05
6505.3717,-5.67E-04,-5.67E-04,-5.67E-04,-5.67E-04,-8.95E-05,3.77E-03
6505.5621,-5.82E-04,-5.82E-04,-5.82E-04,-5.82E-04,9.30E-04,4.02E-04
6505.9216,-5.57E-05,-5.57E-05,-5.57E-05,-5.57E-05,1.31E-04,-2.02E-03
6506.4165,-4.70E-04,-4.70E-04,-4.70E-04,-4.70E-04,-7.95E-04,-6.77E-04
6506.8758,-8.14E-04,-8.14E-04,-8.14E-04,-8.14E-04,-5.15E-04,4.21E-05
6507.1963,-8.72E-04,-8.72E-04,-8.72E-04,-8.72E-04,-7.62E-04,1.34E-03
6507.5525,-1.33E-03,-1.33E-03,-1.33E-03,-1.33E-03,3.94E-04,2.20E-03
6507.9479,-5.76E-04,-5.76E-04,-5.76E-04,-5.76E-04,8.93E-04,-2.04E-04
6508.3469,-6.21E-04,-6.21E-04,-6.21E-04,-6.21E-04,2.32E-04,-8.59E-04
