e,xmu,bkg,pre_edge,post_edge,der,sec,chie
6213.4561,0.1290352,0.1290352,0.12623748,0.51245675,8.88E-05,-2.54E-06,0
6219.2095,0.12954639,0.12954639,0.12672263,0.51268993,7.42E-05,-1.97E-06,0
6224.9751,0.12989012,0.12989012,0.12720881,0.51292569,6.61E-05,-5.44E-09,0
6230.7593,0.13031013,0.13031013,0.12769656,0.51316432,7.42E-05,7.45E-07,0
6236.4192,0.13073875,0.13073875,0.12817382,0.51339986,7.47E-05,-1.04E-08,0
6242.115,0.13115789,0.13115789,0.12865411,0.51363893,7.40E-05,-2.16E-07,0
6247.9869,0.13159519,0.13159519,0.12914925,0.51388754,7.22E-05,-5.48E-07,0
6253.8607,0.13200546,0.13200546,0.12964455,0.51413841,6.76E-05,-6.25E-07,0
6259.5858,0.13237931,0.13237931,0.13012732,0.51438501,6.49E-05,1.36E-07,0
6265.3509,0.13275129,0.13275129,0.13061346,0.51463543,6.92E-05,8.51E-07,0
6271.2881,0.13318876,0.13318876,0.13111411,0.51489551,7.49E-05,6.96E-07,0
6277.0638,0.13362828,0.13362828,0.13160113,0.51515066,7.73E-05,-4.01E-07,0
6282.8421,0.13408213,0.13408213,0.13208838,0.51540801,7.02E-05,-1.78E-06,0
6288.7995,0.13445265,0.13445265,0.13259073,0.51567555,5.65E-05,-2.57E-07,0
6294.7678,0.13475549,0.13475549,0.133094,0.51594583,6.72E-05,1.92E-06,0
6300.5787,0.13524395,0.13524395,0.133584,0.51621113,7.91E-05,3.95E-07,0
6306.3796,0.1356741,0.1356741,0.13407316,0.51647811,7.18E-05,-2.06E-06,0
6312.3714,0.13609032,0.13609032,0.1345784,0.51675609,5.49E-05,-2.30E-06,0
6318.372,0.13633209,0.13633209,0.1350844,0.51703675,4.42E-05,1.72E-06,0
6324.3719,0.13662112,0.13662112,0.13559034,0.51731965,7.56E-05,4.69E-06,0
6330.2072,0.13722626,0.13722626,0.13608239,0.51759696,9.97E-05,1.21E-07,0
6336.0569,0.13778631,0.13778631,0.13657566,0.51787711,7.70E-05,-2.67E-06,0
6342.1056,0.13814202,0.13814202,0.13708571,0.51816906,6.80E-05,-5.70E-07,0
6348.1765,0.13860985,0.13860985,0.13759763,0.51846441,7.01E-05,-1.90E-07,0
6354.0752,0.13898055,0.13898055,0.13809503,0.5187536,6.57E-05,8.43E-07,0
6359.9742,0.13938463,0.13938463,0.13859246,0.519045,8.00E-05,7.63E-07,0
6366.0657,0.13993986,0.13993986,0.13910612,0.51934821,7.48E-05,-4.15E-07,0
6372.1707,0.1402971,0.1402971,0.13962091,0.51965444,7.49E-05,8.91E-07,0
6378.1219,0.14084345,0.14084345,0.14012275,0.51995522,8.56E-05,-4.91E-08,0
6384.056,0.14131399,0.14131399,0.14062313,0.52025735,7.44E-05,-1.25E-06,0
6390.1792,0.14174009,0.14174009,0.14113947,0.52057145,7.04E-05,-1.24E-07,0
6396.3252,0.14217827,0.14217827,0.14165772,0.52088908,7.28E-05,2.03E-08,0
6402.4844,0.14263642,0.14263642,0.14217709,0.52120979,7.07E-05,-3.67E-07,0
6408.4683,0.1430367,0.1430367,0.14268167,0.52152367,6.84E-05,4.17E-08,0
6414.4709,0.14345609,0.14345609,0.14318784,0.52184079,7.12E-05,7.66E-07,0
6420.672,0.14390551,0.14390551,0.14371073,0.52217078,7.77E-05,2.58E-07,0
6426.898,0.14442204,0.14442204,0.14423574,0.52250454,7.44E-05,-2.38E-07,0
6432.9589,0.1448196,0.1448196,0.14474681,0.52283179,7.48E-05,7.51E-07,0
6439.0277,0.1453294,0.1453294,0.14525856,0.52316179,8.35E-05,-3.01E-07,0
6445.3155,0.1458514,0.1458514,0.14578877,0.52350615,7.11E-05,-1.64E-06,0
6451.6271,0.14622505,0.14622505,0.14632099,0.52385432,6.28E-05,3.64E-07,0
6457.7758,0.1466339,0.1466339,0.14683947,0.52419592,7.56E-05,2.01E-06,0
6463.9452,0.14715653,0.14715653,0.1473597,0.52454107,8.75E-05,3.86E-07,0
6470.0998,0.14771251,0.14771251,0.14787868,0.52488777,8.04E-05,-9.26E-07,0
6476.2716,0.14814724,0.14814724,0.14839911,0.52523785,7.61E-05,4.56E-07,0
6482.6317,0.14866627,0.14866627,0.14893541,0.52560111,8.61E-05,6.50E-07,0
6488.8072,0.14922639,0.14922639,0.14945616,0.52595628,8.43E-05,-3.21E-07,0
6495.0038,0.14970871,0.14970871,0.14997868,0.52631507,8.21E-05,-4.07E-07,0
6499.984,0.15014416,0.15014416,0.15039863,0.52660519,7.97E-05,-1.48E-06,0
6501.8179,0.15025187,0.15025187,0.15055328,0.52671242,7.20E-05,2.02E-04,0
6502.0082,0.15028989,0.15028989,0.15056932,0.52672355,4.89E-04,4.63E-04,0
6502.3673,0.15052045,0.15052045,0.1505996,0.52674458,3.26E-04,-6.67E-04,0
6502.8634,0.15056906,0.15056906,0.15064143,0.52677364,-8.16E-05,-5.12E-04,0
6503.324,0.15044237,0.15044237,0.15068027,0.52680063,-1.63E-04,1.47E-04,0
6503.6405,0.15044222,0.15044222,0.15070696,0.52681919,3.24E-05,5.26E-04,0
6503.9963,0.15046415,0.15046415,0.15073696,0.52684006,1.90E-04,3.58E-04,0
6504.3912,0.15058502,0.15058502,0.15077026,0.52686323,3.01E-04,-1.67E-04,0
6504.7862,0.15070189,0.15070189,0.15080357,0.52688642,5.86E-05,-5.14E-04,0
6505.1812,0.15063133,0.15063133,0.15083688,0.52690962,-1.05E-04,-1.34E-05,0
6505.3717,0.15064025,0.15064025,0.15085294,0.5269208,5.08E-05,1.41E-03,0
6505.5621,0.15065067,0.15065067,0.150869,0.52693199,4.33E-04,1.51E-04,0
6505.9216,0.15087842,0.15087842,0.15089931,0.52695312,1.34E-04,-7.57E-04,0
6506.4165,0.1507648,0.1507648,0.15094104,0.52698222,-2.14E-04,-2.54E-04,0
6506.8758,0.15067449,0.15067449,0.15097978,0.52700925,-1.09E-04,1.58E-05,0
6507.1963,0.15068002,0.15068002,0.1510068,0.52702811,-2.01E-04,5.03E-04,0
6507.5525,0.1505382,0.1505382,0.15103684,0.52704908,2.32E-04,8.26E-04,0
6507.9479,0.15085427,0.15085427,0.15107018,0.52707237,4.19E-04,-7.64E-05,0
6508.3469,0.15087115,0.15087115,0.15110382,0.52709588,1.71E-04,-3.22E-04,0
6508.7424,0.15099025,0.15099025,0.15113717,0.52711919,1.63E-04,-4.99E-04,0
6508.933,0.1509669,0.1509669,0.15115325,0.52713044,-1.21E-04,-3.33E-04,0
6509.1237,0.15094405,0.15094405,0.15116932,0.52714168,3.66E-05,4.66E-04,0
6509.4836,0.15098703,0.15098703,0.15119967,0.52716292,1.35E-04,9.22E-05,0
6509.9808,0.15105989,0.15105989,0.1512416,0.52719227,1.16E-04,-1.54E-04,0
6510.446,0.15109832,0.15109832,0.15128083,0.52721974,-1.32E-05,-1.23E-04,0
6510.7669,0.15104949,0.15104949,0.15130789,0.5272387,1.89E-05,5.22E-04,0
6511.1235,0.15111111,0.15111111,0.15133796,0.52725977,3.40E-04,1.63E-04,0
6511.5229,0.15130665,0.15130665,0.15137164,0.52728339,1.42E-04,-4.84E-04,0
6511.9188,0.15122397,0.15122397,0.15140502,0.5273068,-4.49E-05,1.08E-04,0
6512.1168,0.15127997,0.15127997,0.15142171,0.52731852,2.06E-04,2.03E-04,0
