e_K_narrow,K_narrow,e_Na_narrow,Na_narrow
5,15386.7188,5,50538.6719
4.98,15303.5156,4.98,50291.7969
4.96,15310.5469,4.96,50226.5625
4.94,14912.8906,4.94,49957.0313
4.92,15038.6719,4.92,50088.6719
4.9,15033.9844,4.9,50226.5625
4.88,14871.875,4.88,50130.8594
4.86,14969.5313,4.86,50328.125
4.84,14862.8906,4.84,50177.3438
4.82,14819.1406,4.82,50064.0625
4.8,14679.2969,4.8,49735.5469
4.78,14719.5313,4.78,49950
4.76,14795.7031,4.76,49653.125
4.74,14632.8125,4.74,49717.1875
4.72,14485.9375,4.72,49562.5
4.7,14445.3125,4.7,49672.2656
4.68,14600.7813,4.68,49655.4688
4.66,14438.2813,4.66,49661.7188
4.64,14405.0781,4.64,49529.6875
4.62,14415.2344,4.62,49720.7031
4.6,14246.4844,4.6,49383.9844
4.58,14388.6719,4.58,49319.9219
4.56,14278.9063,4.56,49419.9219
4.54,14103.9063,4.54,49220.7031
4.52,14235.9375,4.52,48896.875
4.5,14026.5625,4.5,48731.25
4.48,13954.2969,4.48,48993.3594
4.46,14125.3906,4.46,48749.2188
4.44,13933.2031,4.44,48632.4219
4.42,13842.5781,4.42,48827.3438
4.4,13804.6875,4.4,48697.6563
4.38,13723.0469,4.38,48653.125
4.36,13765.625,4.36,48350
4.34,13515.2344,4.34,48517.5781
4.32,13564.0625,4.32,48138.6719
4.3,13570.7031,4.3,48073.0469
4.28,13439.8438,4.28,48094.5313
4.26,13287.1094,4.26,48198.0469
4.24,13304.2969,4.24,47771.0938
4.22,13400.7813,4.22,48117.1875
4.2,13274.2188,4.2,48000.7813
4.18,13398.0469,4.18,48003.125
4.16,13312.5,4.16,47929.2969
4.14,13198.8281,4.14,47900.3906
4.12,13088.6719,4.12,47632.4219
4.1,13152.7344,4.1,47397.6563
4.08,12982.0313,4.08,47414.4531
4.06,13107.0313,4.06,47471.0938
4.04,13152.3438,4.04,47295.7031
4.02,12991.7969,4.02,47142.9688
4,12967.9688,4,47408.5938
3.98,12829.6875,3.98,47258.9844
3.96,12746.0938,3.96,47203.125
3.94,12839.0625,3.94,47126.5625
3.92,12692.9688,3.92,46846.4844
3.9,12553.9063,3.9,46760.5469
3.88,12508.9844,3.88,46689.8438
3.86,12651.1719,3.86,46589.0625
3.84,12579.6875,3.84,46555.0781
3.82,12555.4688,3.82,46492.1875
3.8,12410.5469,3.8,46328.9063
3.78,12389.0625,3.78,46470.7031
3.76,12552.7344,3.76,46614.0625
3.74,12458.2031,3.74,46960.9375
3.72,12596.0938,3.72,46803.125
3.7,12623.8281,3.7,47170.7031
3.68,12665.2344,3.68,47074.2188
3.66,12460.9375,3.66,47472.2656
3.64,12456.25,3.64,47391.0156
3.62,12619.5313,3.62,47432.8125
3.6,12437.8906,3.6,47902.3438
3.58,12507.0313,3.58,47665.2344
3.56,12469.9219,3.56,48185.1563
3.54,12596.875,3.54,48200.3906
3.52,12596.4844,3.52,48447.2656
3.5,12850.7813,3.5,48434.375
3.48,12632.0313,3.48,48789.4531
3.46,12632.0313,3.46,48917.9688
3.44,12646.0938,3.44,48791.0156
3.42,12624.2188,3.42,48940.625
3.4,12633.9844,3.4,49064.0625
3.38,12807.4219,3.38,49312.1094
3.36,12722.2656,3.36,49481.6406
3.34,12935.9375,3.34,49479.6875
3.32,12666.7969,3.32,49705.0781
3.3,12829.2969,3.3,50032.0313
3.28,12931.6406,3.28,50257.4219
3.26,12867.5781,3.26,50270.3125
3.24,12869.9219,3.24,50184.375
3.22,12873.8281,3.22,50273.0469
3.2,12714.8438,3.2,50391.4063
3.18,12776.1719,3.18,50914.4531
3.16,12907.8125,3.16,50543.75
3.14,12830.0781,3.14,50591.0156
3.12,12868.75,3.12,50714.0625
3.1,13003.5156,3.1,51228.9063
3.08,13003.5156,3.08,51545.3125
3.06,13019.9219,3.06,51533.2031
3.04,13075.7813,3.04,51803.5156
3.02,12994.1406,3.02,51768.75
3,13129.6875,3,52179.6875
2.98,13159.7656,2.98,51983.2031
2.96,13032.8125,2.96,52224.2188
2.94,13119.5313,2.94,52285.5469
2.92,12975,2.92,52053.9063
2.9,12859.375,2.9,52246.0938
2.88,13014.8438,2.88,52648.4375
2.86,13023.4375,2.86,52638.2813
2.84,13158.5938,2.84,53169.9219
2.82,13260.1563,2.82,53241.0156
2.8,13259.7656,2.8,53404.6875
2.78,13075.3906,2.78,53371.0938
2.76,13187.8906,2.76,53446.0938
2.74,13267.9688,2.74,53722.2656
2.72,13150.3906,2.72,53681.6406
2.7,13354.6875,2.7,53935.9375
2.68,13400.7813,2.68,54120.7031
2.66,13535.9375,2.66,54035.1563
2.64,13605.0781,2.64,54263.6719
2.62,13431.6406,2.62,54491.7969
2.6,13486.3281,2.6,54306.25
2.58,13501.1719,2.58,54816.4063
2.56,13482.4219,2.56,54842.1875
2.54,13454.6875,2.54,55013.2813
2.52,13421.4844,2.52,54978.5156
2.5,13549.6094,2.5,55189.8438
2.48,13568.3594,2.48,55001.5625
2.46,13784.7656,2.46,55187.8906
2.44,13581.25,2.44,55518.75
2.42,13668.75,2.42,55142.9688
2.4,13612.5,2.4,55722.2656
2.38,13517.1875,2.38,55668.3594
2.36,13547.2656,2.36,56013.6719
2.34,13668.75,2.34,56062.5
2.32,13604.6875,2.32,55882.0313
2.3,13694.5313,2.3,56114.4531
2.28,13667.5781,2.28,55708.5938
2.26,13632.0313,2.26,55925
2.24,13783.5938,2.24,55921.875
2.22,13496.4844,2.22,55783.5938
2.2,13617.5781,2.2,56218.75
2.18,13680.0781,2.18,56387.8906
2.16,13740.2344,2.16,56776.9531
2.14,13621.0938,2.14,56693.75
2.12,13733.2031,2.12,56634.375
2.1,13703.5156,2.1,56771.4844
2.08,13846.0938,2.08,56644.9219
2.06,13758.5938,2.06,57106.6406
2.04,13592.1875,2.04,56756.25
2.02,13698.8281,2.02,56750
2,13600.7813,2,56848.8281
1.98,13694.5313,1.98,56867.9688
1.96,13734.7656,1.96,56880.0781
1.94,13532.8125,1.94,57109.7656
1.92,13479.6875,1.92,57124.6094
1.9,13570.7031,1.9,56694.1406
1.88,13728.9063,1.88,56805.0781
1.86,13682.8125,1.86,56892.9688
1.84,13634.375,1.84,57050.3906
1.82,13622.6563,1.82,56887.1094
1.8,13534.375,1.8,56724.2188
1.78,13594.5313,1.78,56757.8125
1.76,13366.4063,1.76,56750.3906
1.74,13596.0938,1.74,56843.3594
1.72,13452.7344,1.72,56953.5156
1.7,13486.7188,1.7,57350.3906
1.68,13401.9531,1.68,57036.7188
1.66,13317.9688,1.66,56894.9219
1.64,13386.7188,1.64,56512.8906
1.62,13212.8906,1.62,56665.625
1.6,13324.2188,1.6,56493.3594
1.58,13435.1563,1.58,56539.0625
1.56,13321.0938,1.56,56679.6875
1.54,13338.2813,1.54,56591.4063
1.52,13250.3906,1.52,56548.4375
1.5,13178.125,1.5,56557.8125
1.48,13234.375,1.48,56216.7969
1.46,13119.5313,1.46,56553.125
1.44,13214.0625,1.44,56495.7031
1.42,13166.0156,1.42,56448.0469
1.4,13171.0938,1.4,56319.1406
1.38,13134.7656,1.38,56045.7031
1.36,13086.3281,1.36,56160.1563
1.34,12943.3594,1.34,56023.8281
1.32,13135.9375,1.32,55898.0469
1.3,12943.3594,1.3,55754.6875
1.28,12821.4844,1.28,56044.5313
1.26,13000.3906,1.26,56143.75
1.24,13007.0313,1.24,55913.6719
1.22,13006.25,1.22,55720.7031
1.2,12948.8281,1.2,55530.0781
1.18,12741.4063,1.18,55337.5
1.16,12920.3125,1.16,55287.5
1.14,12700,1.14,54982.4219
1.12,12629.6875,1.12,54944.1406
1.1,12607.8125,1.1,55019.5313
1.08,12596.875,1.08,55073.8281
1.06,12624.6094,1.06,54865.2344
1.04,12457.4219,1.04,55106.25
1.02,12397.6563,1.02,54756.6406
1,12403.9063,1,54753.5156
0.98,12279.2969,0.98,54479.6875
0.96,12467.1875,0.96,54631.25
0.94,12347.2656,0.94,54317.9688
0.92,12201.9531,0.92,53797.2656
0.9,12128.5156,0.9,53787.1094
0.88,12005.4688,0.88,53818.75
0.86,12124.6094,0.86,53550
0.84,12080.8594,0.84,53221.4844
0.82,12077.7344,0.82,53204.6875
0.8,12270.3125,0.8,53280.4688
0.78,12005.8594,0.78,53062.5
0.76,11906.25,0.76,52903.125
0.74,11954.6875,0.74,52838.6719
0.72,11843.75,0.72,52577.7344
0.7,11700,0.7,52351.5625
0.68,11663.6719,0.68,52440.2344
0.66,11688.6719,0.66,52421.875
0.64,11714.0625,0.64,52048.4375
0.62,11581.6406,0.62,52006.25
0.6,11567.1875,0.6,51867.1875
0.58,11564.0625,0.58,51662.8906
0.56,11508.5938,0.56,51321.0938
0.54,11745.3125,0.54,51553.9063
0.52,11401.9531,0.52,51287.1094
0.5,11562.1094,0.5,50959.375
0.48,11599.6094,0.48,50561.3281
0.46,11282.8125,0.46,50838.2813
0.44,11328.125,0.44,50660.5469
0.42,11458.9844,0.42,50309.7656
0.4,11138.6719,0.4,50181.25
0.38,11351.5625,0.38,50388.6719
0.36,11326.5625,0.36,50122.6563
0.34,11091.4063,0.34,49940.2344
0.32,11188.2813,0.32,49355.4688
0.3,11009.375,0.3,49685.5469
0.28,10877.7344,0.28,49262.8906
0.26,10919.5313,0.26,48931.6406
0.24,10706.25,0.24,48756.6406
0.22,10882.0313,0.22,48266.7969
0.2,10803.9063,0.2,48538.6719
0.18,10839.4531,0.18,47973.0469
0.16,10785.9375,0.16,48133.9844
0.14,10550,0.14,47896.4844
0.12,10545.7031,0.12,47640.625
0.1,10658.2031,0.1,47305.8594
0.08,10510.1563,0.08,47364.8438
0.06,10516.4063,0.06,47146.0938
0.04,10449.6094,0.04,46667.5781
0.02,10312.1094,0.02,46199.6094
0,10242.9688,0,46055.0781
-0.02,10349.2188,-0.02,45651.1719
-0.04,10163.6719,-0.04,45378.125
-0.06,10290.2344,-0.06,45011.7188
-0.08,10135.9375,-0.08,44567.5781
-0.1,10115.2344,-0.1,44694.1406
-0.12,10130.4688,-0.12,44181.25
-0.14,9914.8438,-0.14,44064.0625
-0.16,9981.25,-0.16,43570.7031
-0.18,9615.2344,-0.18,43171.4844
-0.2,9977.7344,-0.2,42878.125
-0.22,9621.4844,-0.22,42828.125
-0.24,9633.2031,-0.24,42159.375
-0.26,9449.6094,-0.26,41676.5625
-0.28,9305.8594,-0.28,41864.0625
-0.3,9253.5156,-0.3,41385.1563
-0.32,9295.3125,-0.32,40996.0938
-0.34,9280.4688,-0.34,40885.1563
-0.36,9275.7813,-0.36,40580.4688
-0.38,9285.5469,-0.38,40001.9531
-0.4,9124.6094,-0.4,39290.2344
-0.42,9054.6875,-0.42,39213.6719
-0.44,9041.4063,-0.44,38774.2188
-0.46,8942.5781,-0.46,38252.7344
-0.48,8962.5,-0.48,37662.8906
-0.5,8790.2344,-0.5,37374.6094
-0.52,8655.8594,-0.52,36952.3438
-0.54,8617.9688,-0.54,36772.2656
-0.56,8586.3281,-0.56,36280.0781
-0.58,8496.875,-0.58,35964.4531
-0.6,8503.5156,-0.6,35392.5781
-0.62,8558.9844,-0.62,34976.5625
-0.64,8348.8281,-0.64,34416.7969
-0.66,8309.375,-0.66,34087.5
-0.68,8181.25,-0.68,33593.3594
-0.7,8056.6406,-0.7,33101.1719
-0.72,8069.9219,-0.72,32616.4063
-0.74,8052.7344,-0.74,32182.0313
-0.76,8110.5469,-0.76,31675
-0.78,7840.2344,-0.78,31190.2344
-0.8,7883.9844,-0.8,30740.625
-0.82,7846.4844,-0.82,30516.7969
-0.84,7683.2031,-0.84,29985.1563
-0.86,7680.8594,-0.86,29511.3281
-0.88,7466.4063,-0.88,29022.2656
-0.9,7550.3906,-0.9,28514.8438
-0.92,7463.2813,-0.92,28148.8281
-0.94,7513.2813,-0.94,27616.7969
-0.96,7396.0938,-0.96,27357.4219
-0.98,7386.3281,-0.98,27230.8594
-1,7325.7813,-1,26730.4688
-1.02,7208.9844,-1.02,26502.3438
-1.04,7102.3438,-1.04,25894.9219
-1.06,7108.5938,-1.06,25409.375
