e_test,test,e_K_wide,K_wide,e_K_wide,K_narrow,e_Na_wide,Na_wide,e_Na_narrow,Na_narrow
13,12971.875,13,11618.75,5,15386.7188,13,61325,5,50538.6719
12.98,13237.5,12.98,11706.25,4.98,15303.5156,12.98,60084.375,4.98,50291.7969
12.96,12446.875,12.96,11693.75,4.96,15310.5469,12.96,59309.375,4.96,50226.5625
12.94,13193.75,12.94,11509.375,4.94,14912.8906,12.94,59334.375,4.94,49957.0313
12.92,12800,12.92,11693.75,4.92,15038.6719,12.92,60518.75,4.92,50088.6719
12.9,12846.875,12.9,11675,4.9,15033.9844,12.9,59390.625,4.9,50226.5625
12.88,12956.25,12.88,11412.5,4.88,14871.875,12.88,59568.75,4.88,50130.8594
12.86,12756.25,12.86,10962.5,4.86,14969.5313,12.86,58900,4.86,50328.125
12.84,12668.75,12.84,11371.875,4.84,14862.8906,12.84,59271.875,4.84,50177.3438
12.82,12618.75,12.82,11668.75,4.82,14819.1406,12.82,58440.625,4.82,50064.0625
12.8,12921.875,12.8,11603.125,4.8,14679.2969,12.8,59206.25,4.8,49735.5469
12.78,13093.75,12.78,12165.625,4.78,14719.5313,12.78,59550,4.78,49950
12.76,12815.625,12.76,11959.375,4.76,14795.7031,12.76,59850,4.76,49653.125
12.74,13040.625,12.74,11715.625,4.74,14632.8125,12.74,59193.75,4.74,49717.1875
12.72,12984.375,12.72,11446.875,4.72,14485.9375,12.72,59421.875,4.72,49562.5
12.7,13096.875,12.7,12043.75,4.7,14445.3125,12.7,59534.375,4.7,49672.2656
12.68,13118.75,12.68,11653.125,4.68,14600.7813,12.68,59790.625,4.68,49655.4688
12.66,13184.375,12.66,11921.875,4.66,14438.2813,12.66,60350,4.66,49661.7188
12.64,13303.125,12.64,12053.125,4.64,14405.0781,12.64,60162.5,4.64,49529.6875
12.62,13531.25,12.62,11612.5,4.62,14415.2344,12.62,61084.375,4.62,49720.7031
12.6,13300,12.6,12556.25,4.6,14246.4844,12.6,59934.375,4.6,49383.9844
12.58,13321.875,12.58,12140.625,4.58,14388.6719,12.58,59868.75,4.58,49319.9219
12.56,13656.25,12.56,11943.75,4.56,14278.9063,12.56,59596.875,4.56,49419.9219
12.54,14000,12.54,12493.75,4.54,14103.9063,12.54,59693.75,4.54,49220.7031
12.52,13390.625,12.52,12643.75,4.52,14235.9375,12.52,60215.625,4.52,48896.875
12.5,13934.375,12.5,12106.25,4.5,14026.5625,12.5,58693.75,4.5,48731.25
12.48,13725,12.48,12493.75,4.48,13954.2969,12.48,58806.25,4.48,48993.3594
12.46,13796.875,12.46,12081.25,4.46,14125.3906,12.46,58434.375,4.46,48749.2188
12.44,14212.5,12.44,12843.75,4.44,13933.2031,12.44,58787.5,4.44,48632.4219
12.42,13921.875,12.42,12409.375,4.42,13842.5781,12.42,58637.5,4.42,48827.3438
12.4,14203.125,12.4,13209.375,4.4,13804.6875,12.4,58093.75,4.4,48697.6563
12.38,14446.875,12.38,12750,4.38,13723.0469,12.38,57696.875,4.38,48653.125
12.36,14362.5,12.36,13103.125,4.36,13765.625,12.36,58140.625,4.36,48350
12.34,14759.375,12.34,13393.75,4.34,13515.2344,12.34,56512.5,4.34,48517.5781
12.32,14993.75,12.32,13703.125,4.32,13564.0625,12.32,56618.75,4.32,48138.6719
12.3,15300,12.3,13831.25,4.3,13570.7031,12.3,56603.125,4.3,48073.0469
12.28,15368.75,12.28,13721.875,4.28,13439.8438,12.28,56462.5,4.28,48094.5313
12.26,15218.75,12.26,14531.25,4.26,13287.1094,12.26,56346.875,4.26,48198.0469
12.24,15937.5,12.24,14809.375,4.24,13304.2969,12.24,56415.625,4.24,47771.0938
12.22,16068.75,12.22,15031.25,4.22,13400.7813,12.22,55396.875,4.22,48117.1875
12.2,15556.25,12.2,15265.625,4.2,13274.2188,12.2,55550,4.2,48000.7813
12.18,15828.125,12.18,15703.125,4.18,13398.0469,12.18,55018.75,4.18,48003.125
12.16,16487.5,12.16,15521.875,4.16,13312.5,12.16,54806.25,4.16,47929.2969
12.14,16456.25,12.14,16050,4.14,13198.8281,12.14,54453.125,4.14,47900.3906
12.12,16159.375,12.12,16850,4.12,13088.6719,12.12,54084.375,4.12,47632.4219
12.1,16212.5,12.1,17828.125,4.1,13152.7344,12.1,53578.125,4.1,47397.6563
12.08,16503.125,12.08,18546.875,4.08,12982.0313,12.08,52828.125,4.08,47414.4531
12.06,16556.25,12.06,18906.25,4.06,13107.0313,12.06,52896.875,4.06,47471.0938
