index,2theta,d value,intensity,h,k,l
1,12.78,6.919,37.0,1,1,0
2,18.11,4.895,53.0,2,0,0
3,25.71,3.462,5.0,2,2,0
4,28.84,3.093,82.0,3,1,0
5,36.70,2.447,24.0,4,0,0
6,37.52,2.395,100.0,2,1,1
7,39.01,2.307,9.0,3,3,0
8,41.23,2.188,5.0,4,2,0
9,41.97,2.151,28.0,3,0,1
10,46.04,1.970,2.0,3,2,1
11,47.37,1.917,8.0,5,1,0
12,49.86,1.827,50.0,4,1,1
13,52.86,1.731,1.0,4,4,0
14,56.37,1.631,29.0,6,0,0
15,56.93,1.616,10.0,4,3,1
16,60.27,1.534,58.0,5,2,1
17,65.11,1.431,15.0,0,0,2
18,66.69,1.401,1.0,1,1,2
19,67.65,1.384,1.0,7,1,0
20,68.18,1.374,5.0,2,0,2
21,69.71,1.348,35.0,5,4,1
22,71.19,1.323,1.0,2,2,2
23,72.71,1.299,8.0,3,1,2
24,73.70,1.284,3.0,7,3,0
25,77.16,1.235,4.0,4,0,2
26,78.59,1.216,10.0,3,3,2
27,83.82,1.153,2.0,6,6,0
28,84.35,1.147,3.0,5,1,2
29,87.15,1.117,2.0,7,4,1
